xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =   -7.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.016140
Cy    =    0.000000
Cd    =    0.019784     ICd   =    0.001857     PCd   =    0.017927
Cl   = -1.80217e-15
Cm   =    0.249301
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    4.079263     YCP   =   -0.000000     ZCP   =    2.278465  
XNP   =    0.000000
Bending =    6.745672

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -2.9798     0.1557    -0.927    0.048984    0.016711    0.000793   -0.100808   -0.064555     0.9578    0.3434    1.5599    0.0000
   -2.9371     0.1587    -0.447    0.067652    0.016356    0.000528   -0.141918   -0.088096     0.9532    0.3322    1.5442    0.0006
   -2.8534     0.1645    -0.216    0.074006    0.016090    0.000279   -0.152775   -0.093823     0.9501    0.3144    1.5099    0.0070
   -2.7318     0.1729    -0.140    0.076949    0.015722    0.000188   -0.155127   -0.094723     0.9472    0.3217    1.4734    0.0302
   -2.5771     0.1836    -0.115    0.078652    0.015350    0.000158   -0.155248   -0.094882     0.9443    0.3002    1.4489    0.0855
   -2.3952     0.1961    -0.110    0.079466    0.015082    0.000152   -0.154254   -0.094924     0.9438    0.2522    1.4372    0.1908
   -2.1931     0.2101    -0.114    0.079630    0.014701    0.000158   -0.152724   -0.094936     0.9405    0.2096    1.4348    0.3629
   -1.9785     0.2249    -0.125    0.079341    0.014319    0.000174   -0.150923   -0.094937     0.9377    0.1676    1.4391    0.6137
   -1.7597     0.2401    -0.144    0.078752    0.013926    0.000198   -0.149061   -0.094932     0.9384    0.1582    1.4479    0.9463
   -1.5451     0.2549    -0.167    0.077995    0.013513    0.000228   -0.147283   -0.094923     0.9372    0.1514    1.4594    1.3526
   -1.3430     0.2689    -0.192    0.077204    0.013162    0.000260   -0.145683   -0.094913     0.9362    0.1441    1.4716    1.8115
   -1.1611     0.2814    -0.205    0.076517    0.012887    0.000275   -0.144350   -0.094898     0.9356    0.1358    1.4822    2.2904
   -1.0064     0.2921    -0.183    0.076047    0.012669    0.000244   -0.143338   -0.094866     0.9352    0.1275    1.4893    2.7487
   -0.8848     0.3005    -0.120    0.075835    0.012509    0.000161   -0.142619   -0.094779     0.9350    0.1205    1.4915    3.1427
   -0.8011     0.3063    -0.055    0.075797    0.012395    0.000076   -0.142084   -0.094595     0.9354    0.1181    1.4896    3.4318
   -0.7584     0.3093    -0.037    0.075726    0.012337    0.000052   -0.141680   -0.094400     0.9357    0.1172    1.4882    3.5848
   -0.7119     0.3100     0.031    0.075735    0.012324   -0.000041   -0.142026   -0.094789     0.9357    0.1170    1.4931    3.7538
   -0.5828     0.3100     0.223    0.075065    0.012333   -0.000292   -0.141931   -0.095121     0.9359    0.1167    1.5086    4.2432
   -0.3738     0.3100     0.395    0.074453    0.012341   -0.000514   -0.141630   -0.095210     0.9360    0.1164    1.5201    5.1172
   -0.1648     0.3100     0.453    0.074179    0.012344   -0.000586   -0.141482   -0.095237     0.9361    0.1163    1.5251    6.0917
   -0.0357     0.3100     0.461    0.074132    0.012345   -0.000597   -0.141457   -0.095242     0.9361    0.1162    1.5260    6.7442
    0.0357     0.3100     0.461    0.074132    0.012345   -0.000597   -0.141457   -0.095242     0.9361    0.1162    1.5260    6.7457
    0.1648     0.3100     0.453    0.074179    0.012344   -0.000586   -0.141482   -0.095237     0.9361    0.1163    1.5251    6.0932
    0.3738     0.3100     0.395    0.074453    0.012341   -0.000514   -0.141630   -0.095210     0.9360    0.1164    1.5201    5.1186
    0.5828     0.3100     0.223    0.075065    0.012333   -0.000292   -0.141931   -0.095121     0.9359    0.1167    1.5086    4.2447
    0.7119     0.3100     0.031    0.075735    0.012324   -0.000041   -0.142026   -0.094789     0.9357    0.1170    1.4931    3.7553
    0.7584     0.3093    -0.037    0.075726    0.012337    0.000052   -0.141680   -0.094400     0.9357    0.1172    1.4882    3.5861
    0.8011     0.3063    -0.055    0.075797    0.012395    0.000076   -0.142084   -0.094595     0.9354    0.1181    1.4896    3.4328
    0.8848     0.3005    -0.120    0.075835    0.012509    0.000161   -0.142619   -0.094779     0.9350    0.1205    1.4915    3.1433
    1.0064     0.2921    -0.183    0.076047    0.012669    0.000244   -0.143338   -0.094866     0.9352    0.1275    1.4893    2.7491
    1.1611     0.2814    -0.205    0.076517    0.012887    0.000275   -0.144350   -0.094898     0.9356    0.1358    1.4822    2.2905
    1.3430     0.2689    -0.192    0.077204    0.013162    0.000260   -0.145683   -0.094913     0.9362    0.1441    1.4716    1.8115
    1.5451     0.2549    -0.167    0.077995    0.013513    0.000228   -0.147283   -0.094923     0.9372    0.1514    1.4594    1.3525
    1.7597     0.2401    -0.144    0.078752    0.013926    0.000198   -0.149061   -0.094932     0.9384    0.1582    1.4479    0.9462
    1.9785     0.2249    -0.125    0.079341    0.014319    0.000174   -0.150923   -0.094937     0.9377    0.1676    1.4391    0.6135
    2.1931     0.2101    -0.114    0.079630    0.014701    0.000158   -0.152724   -0.094936     0.9405    0.2096    1.4348    0.3628
    2.3952     0.1961    -0.110    0.079466    0.015082    0.000152   -0.154254   -0.094924     0.9438    0.2522    1.4372    0.1907
    2.5771     0.1836    -0.115    0.078652    0.015350    0.000158   -0.155248   -0.094882     0.9443    0.3002    1.4489    0.0855
    2.7318     0.1729    -0.140    0.076949    0.015722    0.000188   -0.155127   -0.094723     0.9472    0.3217    1.4734    0.0302
    2.8534     0.1645    -0.216    0.074006    0.016090    0.000279   -0.152775   -0.093823     0.9501    0.3144    1.5099    0.0070
    2.9371     0.1587    -0.447    0.067652    0.016356    0.000528   -0.141918   -0.088096     0.9532    0.3322    1.5442    0.0006
    2.9798     0.1557    -0.927    0.048984    0.016711    0.000793   -0.100808   -0.064555     0.9578    0.3434    1.5599    0.0000


Horizontal Stabilizer
