xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =    0.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.800900
Cy    =   -0.000000
Cd    =    0.021557     ICd   =    0.008913     PCd   =    0.012644
Cl   = -8.27946e-14
Cm   =   -0.553993
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.062780     YCP   =    0.000000     ZCP   =    0.012815  
XNP   =    0.000000
Bending =   71.243434

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -2.9798     0.1557    -3.143    0.349933    0.014949    0.019213   -0.403295   -0.053793     0.8990    1.0000    0.4028    0.0000
   -2.9371     0.1587    -2.264    0.555325    0.013615    0.021956   -0.629856   -0.078038     0.8517    1.0000    0.3897    0.0045
   -2.8534     0.1645    -1.508    0.694940    0.012520    0.018292   -0.763443   -0.088772     0.7786    1.0000    0.3769    0.0559
   -2.7318     0.1729    -1.019    0.773718    0.011957    0.013756   -0.817930   -0.092752     0.7126    1.0000    0.3690    0.2602
   -2.5771     0.1836    -0.739    0.815359    0.011647    0.010523   -0.826539   -0.094273     0.6593    1.0000    0.3647    0.7804
   -2.3952     0.1961    -0.592    0.836519    0.011414    0.008648   -0.811946   -0.094889     0.6236    1.0000    0.3625    1.8092
   -2.1931     0.2101    -0.524    0.846526    0.011157    0.007737   -0.787083   -0.095144     0.5985    1.0000    0.3615    3.5318
   -1.9785     0.2249    -0.502    0.850262    0.010893    0.007453   -0.758857   -0.095241     0.5822    1.0000    0.3611    6.0841
   -1.7597     0.2401    -0.511    0.850266    0.010622    0.007575   -0.730849   -0.095256     0.5717    1.0000    0.3611    9.5113
   -1.5451     0.2549    -0.539    0.847913    0.010364    0.007969   -0.704849   -0.095221     0.5649    1.0000    0.3614   13.7360
   -1.3430     0.2689    -0.579    0.844021    0.010129    0.008530   -0.681699   -0.095144     0.5625    1.0000    0.3618   18.5434
   -1.1611     0.2814    -0.625    0.839177    0.009896    0.009146   -0.661781   -0.095024     0.5629    1.0000    0.3623   23.5908
   -1.0064     0.2921    -0.666    0.833941    0.009697    0.009681   -0.645284   -0.094843     0.5652    1.0000    0.3628   28.4423
   -0.8848     0.3005    -0.698    0.828977    0.009535    0.010098   -0.632375   -0.094560     0.5687    1.0000    0.3632   32.6255
   -0.8011     0.3063    -0.736    0.825101    0.009425    0.010586   -0.623315   -0.094130     0.5721    1.0000    0.3632   35.7008
   -0.7584     0.3093    -0.791    0.823249    0.009377    0.011354   -0.618718   -0.093736     0.5731    1.0000    0.3630   37.3293
   -0.7119     0.3100    -0.729    0.826436    0.009413    0.010520   -0.620578   -0.094310     0.5677    1.0000    0.3632   39.1282
   -0.5828     0.3100    -0.591    0.831810    0.009494    0.008579   -0.624772   -0.095081     0.5584    1.0000    0.3634   44.3456
   -0.3738     0.3100    -0.488    0.836415    0.009563    0.007121   -0.627977   -0.095354     0.5505    1.0000    0.3631   53.6969
   -0.1648     0.3100    -0.449    0.838529    0.009595    0.006575   -0.629400   -0.095431     0.5468    1.0000    0.3629   64.1785
   -0.0357     0.3100    -0.442    0.838900    0.009600    0.006476   -0.629646   -0.095441     0.5462    1.0000    0.3628   71.2230
    0.0357     0.3100    -0.442    0.838900    0.009600    0.006476   -0.629646   -0.095441     0.5462    1.0000    0.3628   71.2434
    0.1648     0.3100    -0.449    0.838529    0.009595    0.006575   -0.629400   -0.095431     0.5468    1.0000    0.3629   64.1989
    0.3738     0.3100    -0.488    0.836415    0.009563    0.007121   -0.627977   -0.095354     0.5505    1.0000    0.3631   53.7173
    0.5828     0.3100    -0.591    0.831810    0.009494    0.008579   -0.624772   -0.095081     0.5584    1.0000    0.3634   44.3660
    0.7119     0.3100    -0.729    0.826436    0.009413    0.010520   -0.620578   -0.094310     0.5677    1.0000    0.3632   39.1486
    0.7584     0.3093    -0.791    0.823249    0.009377    0.011354   -0.618718   -0.093736     0.5731    1.0000    0.3630   37.3472
    0.8011     0.3063    -0.736    0.825101    0.009425    0.010586   -0.623315   -0.094130     0.5721    1.0000    0.3632   35.7138
    0.8848     0.3005    -0.698    0.828977    0.009535    0.010098   -0.632375   -0.094560     0.5687    1.0000    0.3632   32.6341
    1.0064     0.2921    -0.666    0.833941    0.009697    0.009681   -0.645284   -0.094843     0.5652    1.0000    0.3628   28.4471
    1.1611     0.2814    -0.625    0.839177    0.009896    0.009146   -0.661781   -0.095024     0.5629    1.0000    0.3623   23.5928
    1.3430     0.2689    -0.579    0.844021    0.010129    0.008530   -0.681699   -0.095144     0.5625    1.0000    0.3618   18.5434
    1.5451     0.2549    -0.539    0.847913    0.010364    0.007969   -0.704849   -0.095221     0.5649    1.0000    0.3614   13.7348
    1.7597     0.2401    -0.511    0.850266    0.010622    0.007575   -0.730849   -0.095256     0.5717    1.0000    0.3611    9.5096
    1.9785     0.2249    -0.502    0.850262    0.010893    0.007453   -0.758857   -0.095241     0.5822    1.0000    0.3611    6.0824
    2.1931     0.2101    -0.524    0.846526    0.011157    0.007737   -0.787083   -0.095144     0.5985    1.0000    0.3615    3.5304
    2.3952     0.1961    -0.592    0.836519    0.011414    0.008648   -0.811946   -0.094889     0.6236    1.0000    0.3625    1.8082
    2.5771     0.1836    -0.739    0.815359    0.011647    0.010523   -0.826539   -0.094273     0.6593    1.0000    0.3647    0.7799
    2.7318     0.1729    -1.019    0.773718    0.011957    0.013756   -0.817930   -0.092752     0.7126    1.0000    0.3690    0.2599
    2.8534     0.1645    -1.508    0.694940    0.012520    0.018292   -0.763443   -0.088772     0.7786    1.0000    0.3769    0.0558
    2.9371     0.1587    -2.264    0.555325    0.013615    0.021956   -0.629856   -0.078038     0.8517    1.0000    0.3897    0.0045
    2.9798     0.1557    -3.143    0.349933    0.014949    0.019213   -0.403295   -0.053793     0.8990    1.0000    0.4028    0.0000


Horizontal Stabilizer
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.7457     0.1250     0.410   -0.050168    0.013728    0.000359    0.499897   -0.002982     1.0000    0.9879    0.1905    0.0000
   -0.7382     0.1250     0.373   -0.085601    0.013880    0.000558    0.822985   -0.004539     1.0000    0.9802    0.1969   -0.0000
   -0.7232     0.1250     0.313   -0.120547    0.013860    0.000659    1.142117   -0.005043     1.0000    0.9716    0.2081   -0.0002
   -0.7011     0.1250     0.235   -0.151317    0.013842    0.000619    1.423970   -0.004632     1.0000    0.9640    0.2194   -0.0011
   -0.6723     0.1250     0.146   -0.176915    0.013826    0.000451    1.658916   -0.003812     1.0000    0.9577    0.2284   -0.0034
   -0.6375     0.1250     0.058   -0.197322    0.013812    0.000200    1.846401   -0.002982     1.0000    0.9525    0.2349   -0.0085
   -0.5973     0.1250    -0.022   -0.213118    0.013801   -0.000080    1.991541   -0.002314     1.0000    0.9484    0.2391   -0.0177
   -0.5525     0.1250    -0.089   -0.225116    0.013751   -0.000349    2.101628   -0.001830     1.0000    0.9429    0.2418   -0.0325
   -0.5041     0.1250    -0.143   -0.234121    0.013701   -0.000586    2.184181   -0.001495     1.0000    0.9379    0.2436   -0.0543
   -0.4531     0.1250    -0.186   -0.240822    0.013663   -0.000782    2.245597   -0.001266     1.0000    0.9341    0.2447   -0.0840
   -0.4004     0.1250    -0.219   -0.245773    0.013635   -0.000940    2.290955   -0.001109     1.0000    0.9314    0.2455   -0.1220
   -0.3472     0.1250    -0.244   -0.249401    0.013615   -0.001062    2.324189   -0.001002     1.0000    0.9293    0.2460   -0.1683
   -0.2946     0.1250    -0.263   -0.252032    0.013600   -0.001155    2.348290   -0.000928     1.0000    0.9279    0.2463   -0.2220
   -0.2435     0.1250    -0.276   -0.253913    0.013590   -0.001224    2.365514   -0.000877     1.0000    0.9268    0.2465   -0.2815
   -0.1951     0.1250    -0.286   -0.255228    0.013582   -0.001274    2.377557   -0.000843     1.0000    0.9261    0.2467   -0.3449
   -0.1504     0.1250    -0.293   -0.256118    0.013577   -0.001308    2.385704   -0.000820     1.0000    0.9256    0.2468   -0.4095
   -0.1102     0.1250    -0.297   -0.256691    0.013574   -0.001330    2.390949   -0.000805     1.0000    0.9253    0.2468   -0.4725
   -0.0753     0.1250    -0.299   -0.257033    0.013572   -0.001343    2.394084   -0.000797     1.0000    0.9251    0.2469   -0.5309
   -0.0466     0.1250    -0.301   -0.257216    0.013571   -0.001350    2.395756   -0.000792     1.0000    0.9250    0.2469   -0.5817
   -0.0245     0.1250    -0.301   -0.257297    0.013571   -0.001354    2.396499   -0.000790     1.0000    0.9249    0.2469   -0.6224
   -0.0095     0.1250    -0.302   -0.257323    0.013570   -0.001355    2.396735   -0.000789     1.0000    0.9249    0.2469   -0.6509
   -0.0019     0.1250    -0.302   -0.257327    0.013570   -0.001355    2.396768   -0.000789     1.0000    0.9249    0.2469   -0.6655
    0.0019     0.1250    -0.302   -0.257327    0.013570   -0.001355    2.396768   -0.000789     1.0000    0.9249    0.2469   -0.6655
    0.0095     0.1250    -0.302   -0.257323    0.013570   -0.001355    2.396735   -0.000789     1.0000    0.9249    0.2469   -0.6509
    0.0245     0.1250    -0.301   -0.257297    0.013571   -0.001354    2.396499   -0.000790     1.0000    0.9249    0.2469   -0.6224
    0.0466     0.1250    -0.301   -0.257216    0.013571   -0.001350    2.395756   -0.000792     1.0000    0.9250    0.2469   -0.5817
    0.0753     0.1250    -0.299   -0.257033    0.013572   -0.001343    2.394084   -0.000797     1.0000    0.9251    0.2469   -0.5309
    0.1102     0.1250    -0.297   -0.256691    0.013574   -0.001330    2.390949   -0.000805     1.0000    0.9253    0.2468   -0.4725
    0.1504     0.1250    -0.293   -0.256118    0.013577   -0.001308    2.385704   -0.000820     1.0000    0.9256    0.2468   -0.4095
    0.1951     0.1250    -0.286   -0.255228    0.013582   -0.001274    2.377557   -0.000843     1.0000    0.9261    0.2467   -0.3449
    0.2435     0.1250    -0.276   -0.253913    0.013590   -0.001224    2.365514   -0.000877     1.0000    0.9268    0.2465   -0.2815
    0.2946     0.1250    -0.263   -0.252032    0.013600   -0.001155    2.348290   -0.000928     1.0000    0.9279    0.2463   -0.2220
    0.3472     0.1250    -0.244   -0.249401    0.013615   -0.001062    2.324189   -0.001002     1.0000    0.9293    0.2460   -0.1683
    0.4004     0.1250    -0.219   -0.245773    0.013635   -0.000940    2.290955   -0.001109     1.0000    0.9314    0.2455   -0.1220
    0.4531     0.1250    -0.186   -0.240822    0.013663   -0.000782    2.245597   -0.001266     1.0000    0.9341    0.2447   -0.0840
    0.5041     0.1250    -0.143   -0.234121    0.013701   -0.000586    2.184181   -0.001495     1.0000    0.9379    0.2436   -0.0543
    0.5525     0.1250    -0.089   -0.225116    0.013751   -0.000349    2.101628   -0.001830     1.0000    0.9429    0.2418   -0.0325
    0.5973     0.1250    -0.022   -0.213118    0.013801   -0.000080    1.991541   -0.002314     1.0000    0.9484    0.2391   -0.0177
    0.6375     0.1250     0.058   -0.197322    0.013812    0.000200    1.846401   -0.002982     1.0000    0.9525    0.2349   -0.0085
    0.6723     0.1250     0.146   -0.176915    0.013826    0.000451    1.658916   -0.003812     1.0000    0.9577    0.2284   -0.0034
    0.7011     0.1250     0.235   -0.151317    0.013842    0.000619    1.423970   -0.004632     1.0000    0.9640    0.2194   -0.0011
    0.7232     0.1250     0.313   -0.120547    0.013860    0.000659    1.142117   -0.005043     1.0000    0.9716    0.2081   -0.0002
    0.7382     0.1250     0.373   -0.085601    0.013880    0.000558    0.822985   -0.004539     1.0000    0.9802    0.1969   -0.0000
    0.7457     0.1250     0.410   -0.050168    0.013728    0.000359    0.499897   -0.002982     1.0000    0.9879    0.1905    0.0000


Vertical Stabilizer (XFLR5)
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.3989     0.1254     0.000    0.000000    0.013412   -0.000000    0.042666    0.000000     1.0000    0.9985   -0.0765    0.0000
   -0.3948     0.1269     0.000    0.000000    0.013351   -0.000000    0.041538    0.000000     1.0000    0.9985    0.1227    0.0000
   -0.3868     0.1299     0.000    0.000000    0.013230   -0.000000    0.039393    0.000000     1.0000    0.9987    0.1907    0.0000
   -0.3750     0.1343     0.000    0.000000    0.013052   -0.000000    0.036433    0.000000     1.0000    0.9989    0.2206    0.0000
   -0.3596     0.1401     0.000    0.000000    0.012820   -0.000000    0.032905    0.000000     1.0000    0.9991    0.2349    0.0000
   -0.3410     0.1471     0.000    0.000000    0.012539   -0.000000    0.029067    0.000000     1.0000    0.9994    0.2413    0.0000
   -0.3195     0.1551     0.000    0.000000    0.012215   -0.000000    0.025152    0.000000     1.0000    0.9998    0.2437    0.0000
   -0.2955     0.1641     0.000    0.000000    0.011906   -0.000000    0.021438    0.000000     1.0000    1.0000    0.2438    0.0000
   -0.2696     0.1738     0.000    0.000000    0.011670   -0.000000    0.018104    0.000000     1.0000    1.0000    0.2428    0.0000
   -0.2423     0.1841     0.000    0.000000    0.011436   -0.000000    0.015057    0.000000     1.0000    1.0000    0.2410    0.0000
   -0.2142     0.1946     0.000    0.000000    0.011221   -0.000000    0.012348    0.000000     1.0000    1.0000    0.2387    0.0000
   -0.1857     0.2053     0.000    0.000000    0.011021   -0.000000    0.009971    0.000000     1.0000    1.0000    0.2359    0.0000
   -0.1576     0.2158     0.000    0.000000    0.010810   -0.000000    0.007891    0.000000     0.9970    0.9970    0.2326    0.0000
   -0.1302     0.2261     0.000    0.000000    0.010570   -0.000000    0.006090    0.000000     0.9903    0.9903    0.2285    0.0000
   -0.1044     0.2358     0.000    0.000000    0.010321   -0.000000    0.004569    0.000000     0.9838    0.9838    0.2238    0.0000
   -0.0804     0.2447     0.000    0.000000    0.010103   -0.000000    0.003320    0.000000     0.9792    0.9792    0.2183   -0.0000
   -0.0589     0.2528     0.000    0.000000    0.009891   -0.000000    0.002305    0.000000     0.9744    0.9744    0.2123   -0.0000
   -0.0403     0.2598     0.000    0.000000    0.009711   -0.000000    0.001506    0.000000     0.9708    0.9707    0.2058   -0.0000
   -0.0249     0.2656     0.000    0.000000    0.009565   -0.000000    0.000897    0.000000     0.9682    0.9682    0.1992   -0.0000
   -0.0131     0.2700     0.000    0.000000    0.009453   -0.000000    0.000458    0.000000     0.9664    0.9664    0.1922   -0.0000
   -0.0051     0.2730     0.000    0.000000    0.009380   -0.000000    0.000174    0.000000     0.9653    0.9653    0.1860   -0.0000
