xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =    4.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.283901
Cy    =   -0.000000
Cd    =    0.051101     ICd   =    0.022148     PCd   =    0.028954
Cl   = -1.31251e-13
Cm   =    -1.04922
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.093205     YCP   =    0.000000     ZCP   =    0.029951  
XNP   =    0.000000
Bending =  109.061761

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -2.9798     0.1557    -4.445    0.526079    0.014087    0.040878   -0.598554   -0.047132     0.8622    1.0000    0.3377    0.0000
   -2.9371     0.1587    -3.336    0.841080    0.012810    0.049021   -0.944015   -0.071827     0.6458    1.0000    0.3335    0.0068
   -2.8534     0.1645    -2.271    1.058993    0.019143    0.042004   -1.152185   -0.085677     0.2136    1.0000    0.3290    0.0845
   -2.7318     0.1729    -1.538    1.182336    0.025210    0.031749   -1.235831   -0.091599     0.1101    1.0000    0.3256    0.3950
   -2.5771     0.1836    -1.108    1.247446    0.029056    0.024135   -1.246326   -0.093996     0.0770    1.0000    0.3234    1.1877
   -2.3952     0.1961    -0.878    1.280563    0.031116    0.019617   -1.220049   -0.094990     0.0623    1.0000    0.3222    2.7578
   -2.1931     0.2101    -0.766    1.296363    0.031666    0.017328   -1.177802   -0.095409     0.0547    1.0000    0.3217    5.3893
   -1.9785     0.2249    -0.725    1.302477    0.031714    0.016473   -1.130523   -0.095570     0.0505    1.0000    0.3214    9.2908
   -1.7597     0.2401    -0.727    1.302850    0.030226    0.016529   -1.084059   -0.095598     0.0490    1.0000    0.3214   14.5320
   -1.5451     0.2549    -0.757    1.299591    0.028736    0.017178   -1.041040   -0.095544     0.0488    1.0000    0.3216   20.9952
   -1.3430     0.2689    -0.807    1.293919    0.027427    0.018230   -1.002804   -0.095422     0.0489    1.0000    0.3218   28.3520
   -1.1611     0.2814    -0.872    1.286690    0.026831    0.019587   -0.969939   -0.095232     0.0496    1.0000    0.3221   36.0777
   -1.0064     0.2921    -0.950    1.278718    0.025245    0.021216   -0.942730   -0.094955     0.0527    1.0000    0.3223   43.5047
   -0.8848     0.3005    -1.040    1.271014    0.023703    0.023089   -0.921433   -0.094548     0.0558    1.0000    0.3225   49.9093
   -0.8011     0.3063    -1.138    1.264906    0.023263    0.025140   -0.906572   -0.093971     0.0571    1.0000    0.3224   54.6179
   -0.7584     0.3093    -1.237    1.262000    0.023100    0.027255   -0.899127   -0.093462     0.0576    1.0000    0.3221   57.1112
