xflr5 v6.61

Plane name :        Rev 6
Polar name :        T1-12.1 m/s-VLM2-9.1kg-x-0.1m
Freestream speed :  12.120 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.500     0.000  -0.016140   0.001857   0.017927   0.019784   0.000000  -0.000000   0.249301  -0.000000  -0.000000   12.1200     4.0793
   -7.000     0.000   0.038456   0.001731   0.016525   0.018255   0.000000  -0.000000   0.196792  -0.000000  -0.000000   12.1200    -1.5111
   -6.500     0.000   0.093061   0.001689   0.015231   0.016920   0.000000  -0.000000   0.144298  -0.000000  -0.000000   12.1200    -0.5414
   -6.000     0.000   0.147670   0.001732   0.014054   0.015787   0.000000  -0.000000   0.091650  -0.000000  -0.000000   12.1200    -0.2888
   -5.500     0.000   0.202276   0.001861   0.013204   0.015065   0.000000  -0.000000   0.038824  -0.000000  -0.000000   12.1200    -0.1726
   -5.000     0.000   0.256872   0.002076   0.012713   0.014789   0.000000  -0.000000  -0.014220  -0.000000  -0.000000   12.1200    -0.1057
   -4.500     0.000   0.311452   0.002376   0.012326   0.014702  -0.000000  -0.000000  -0.067495  -0.000000  -0.000000   12.1200    -0.0623
   -4.000     0.000   0.366010   0.002761   0.012027   0.014788  -0.000000  -0.000000  -0.120980  -0.000000  -0.000000   12.1200    -0.0319
   -3.500     0.000   0.420539   0.003232   0.011808   0.015041  -0.000000  -0.000000  -0.174604  -0.000000  -0.000000   12.1200    -0.0093
   -3.000     0.000   0.475033   0.003789   0.011685   0.015474  -0.000000  -0.000000  -0.228349  -0.000000  -0.000000   12.1200     0.0080
   -2.500     0.000   0.529486   0.004431   0.011627   0.016059  -0.000000  -0.000000  -0.282253  -0.000000  -0.000000   12.1200     0.0219
   -2.000     0.000   0.583890   0.005159   0.011632   0.016791  -0.000000  -0.000000  -0.336313  -0.000000  -0.000000   12.1200     0.0331
   -1.500     0.000   0.638240   0.005971   0.011714   0.017685  -0.000000  -0.000000  -0.390516  -0.000000  -0.000000   12.1200     0.0424
   -1.000     0.000   0.692529   0.006868   0.011887   0.018755  -0.000000  -0.000000  -0.444861  -0.000000  -0.000000   12.1200     0.0503
   -0.500     0.000   0.746751   0.007849   0.012173   0.020022  -0.000000  -0.000000  -0.499360  -0.000000  -0.000000   12.1200     0.0570
    0.000     0.000   0.800900   0.008913   0.012644   0.021557  -0.000000  -0.000000  -0.553993  -0.000000  -0.000000   12.1200     0.0628
    0.500     0.000   0.854969   0.010061   0.013409   0.023470  -0.000000  -0.000000  -0.608742  -0.000000  -0.000000   12.1200     0.0679
    1.000     0.000   0.908953   0.011291   0.014543   0.025834  -0.000000  -0.000000  -0.663599  -0.000000  -0.000000   12.1200     0.0723
    1.500     0.000   0.962843   0.012603   0.015999   0.028602  -0.000000  -0.000000  -0.718531  -0.000000  -0.000000   12.1200     0.0763
    2.000     0.000   1.016636   0.013996   0.017564   0.031560  -0.000000  -0.000000  -0.773540  -0.000000  -0.000000   12.1200     0.0799
    2.500     0.000   1.070323   0.015469   0.019156   0.034626  -0.000000  -0.000000  -0.828636  -0.000000  -0.000000   12.1200     0.0831
    3.000     0.000   1.123899   0.017022   0.020895   0.037917  -0.000000  -0.000000  -0.883801  -0.000000  -0.000000   12.1200     0.0859
    3.500     0.000   1.177359   0.018654   0.023019   0.041672  -0.000000  -0.000000  -0.938953   0.000000  -0.000000   12.1200     0.0886
    4.000     0.000   1.230695   0.020362   0.025851   0.046213  -0.000000  -0.000000  -0.994088   0.000000  -0.000000   12.1200     0.0910
    4.500     0.000   1.283901   0.022148   0.028954   0.051101  -0.000000  -0.000000  -1.049224   0.000000  -0.000000   12.1200     0.0932


